Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
MercyMe,"1,038,610,201","1,033,714,945","1,010,871,984","4,895,256","393,186","391,999","381,903","1,187",184,181,175,3
Nina Chuba,"1,038,782,239","872,661,128","672,652,650","166,121,111","1,252,276","1,056,252","871,369","196,024",57,45,39,12
Diego Verdaguer,"1,038,697,334","993,275,848","901,287,351","45,421,486","615,546","593,891","539,063","21,655",210,197,129,13
Alex Zurdo,"1,038,798,606","867,931,046","521,039,395","170,867,560","729,325","572,429","344,641","156,896",231,183,118,48
DJ Antoine,"1,039,078,309","1,004,580,159","65,058,138","34,498,150","281,175","276,909","6,143","4,266",246,223,23,23
Adie,"1,039,780,491","1,035,257,455","681,978,400","4,523,036","1,071,395","968,550","630,453","102,845",21,20,17,1
Parcels,"1,039,622,503","1,039,622,503","989,207,638",0,"753,564","753,564","712,174",0,99,99,79,0
Raaban,"1,040,490,070","305,399,380","770,543","735,090,690","141,799","75,565",131,"66,234",65,27,2,38
Crazy Mano,"1,040,573,729","18,315,393","12,960,497","1,022,258,336","642,289","12,165","4,062","630,124",124,10,6,114
Bhad Bhabie,"1,040,602,526","968,181,019","288,690,359","72,421,507","259,816","212,602","58,382","47,214",39,34,19,5
Sawano Hiroyuki,"1,040,054,986","1,030,415,694","1,018,934,495","9,639,292","598,939","585,982","576,543","12,957",449,440,429,9
Erik Satie,"1,039,178,738","1,033,857,796","1,830,236","5,320,942","496,965","491,869",678,"5,096",547,536,6,11
Miss Li,"1,041,563,494","741,421,013","702,481,851","300,142,481","311,419","273,248","245,862","38,171",157,154,146,3
Eiffel 65,"1,040,604,874","947,778,322","68,770,970","92,826,552","386,890","369,467","23,008","17,423",95,82,52,13
LL COOL J,"1,041,664,444","862,396,851","471,359,067","179,267,593","455,969","385,197","159,025","70,772",216,202,126,14
Fenix Flexin,"1,041,738,280","60,984,924","43,412,538","980,753,356","712,458","34,694","22,355","677,764",98,56,33,42
"Crosby, Stills, Nash & Young","1,041,910,975","1,041,910,975","1,041,244,106",0,"373,649","373,649","373,649",0,147,147,143,0
Peggy Gou,"1,042,440,120","998,154,755","938,954,740","44,285,365","569,668","553,124","526,574","16,544",58,56,38,2
Madvillain,"1,042,097,405","1,040,140,018","7,599,049","1,957,387","450,953","450,447","4,179",506,75,74,15,1
Seven Lions,"1,042,476,979","866,432,799","58,580,023","176,044,180","218,806","193,972","4,119","24,834",249,213,20,36
